Year,"Coloured fox fur production, Nain, Labrador, 1834-1925"
1834,78
1835,159
1836,29
1837,104
1838,82
1839,148
1840,28
1841,256
1842,355
1843,49
1844,214
1845,12
1846,34
1847,285
1848,9
1849,23
1850,85
1851,161
1853,44
1854,100
1855,152
1856,38
1857,5
1858,24
1859,127
1860,15
1861,27
1862,81
1863,105
1864,75
1865,21
1866,30
1867,337
1868,34
1869,11
1870,59
1871,48
1872,116
1873,23
1874,161
1875,234
1876,147
1877,70
1878,19
1879,123
1880,383
1881,37
1882,158
1883,151
1884,27
1885,31
1886,55
1887,33
1888,29
1889,67
1890,261
1891,97
1892,27
1893,90
1894,119
1895,173
1896,101
1897,90
1898,17
1899,30
1900,50
1901,157
1902,67
1903,10
1904,39
1905,254
1906,207
1907,10
1908,70
1909,162
1910,144
1911,4
1912,77
1913,83
1914,424
1915,51
1916,74
1917,189
1918,133
1919,0
1920,48
1921,125
1922,91
1923,51
1924,122
1925,309
