Date,"Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
12/31/1979,1.726
1/2/1980,1.714
1/3/1980,1.711
1/4/1980,1.713
1/7/1980,1.708
1/8/1980,1.713
1/9/1980,1.712
1/10/1980,1.717
1/11/1980,1.721
1/14/1980,1.719
1/15/1980,1.728
1/16/1980,1.722
1/17/1980,1.724
1/18/1980,1.724
1/21/1980,1.729
1/22/1980,1.734
1/23/1980,1.73
1/24/1980,1.732
1/25/1980,1.737
1/28/1980,1.739
1/29/1980,1.737
1/30/1980,1.737
1/31/1980,1.744
2/1/1980,1.744
2/4/1980,1.742
2/5/1980,1.743
2/6/1980,1.733
2/7/1980,1.739
2/8/1980,1.739
2/11/1980,1.739
2/13/1980,1.735
2/14/1980,1.736
2/15/1980,1.742
2/19/1980,1.748
2/20/1980,1.748
2/21/1980,1.747
2/22/1980,1.759
2/25/1980,1.762
2/26/1980,1.764
2/27/1980,1.758
2/28/1980,1.764
2/29/1980,1.777
3/3/1980,1.783
3/4/1980,1.791
3/5/1980,1.789
3/6/1980,1.795
3/7/1980,1.796
3/10/1980,1.81
3/11/1980,1.812
3/12/1980,1.808
3/13/1980,1.822
3/14/1980,1.833
3/17/1980,1.874
3/18/1980,1.877
3/19/1980,1.873
3/20/1980,1.866
3/21/1980,1.878
3/24/1980,1.888
3/25/1980,1.897
3/26/1980,1.897
3/27/1980,1.92
3/28/1980,1.932
3/31/1980,1.952
4/1/1980,1.962
4/2/1980,1.955
4/3/1980,1.964
4/4/1980,1.97
4/7/1980,1.975
4/8/1980,1.941
4/9/1980,1.89
4/10/1980,1.877
4/11/1980,1.877
4/14/1980,1.872
4/15/1980,1.895
4/16/1980,1.86
4/17/1980,1.857
4/18/1980,1.854
4/21/1980,1.849
4/22/1980,1.862
4/23/1980,1.823
4/24/1980,1.82
4/25/1980,1.813
4/28/1980,1.798
4/29/1980,1.797
4/30/1980,1.8
5/1/1980,1.802
5/2/1980,1.824
5/5/1980,1.796
5/6/1980,1.793
5/7/1980,1.786
5/8/1980,1.793
5/9/1980,1.812
5/12/1980,1.791
5/13/1980,1.794
5/14/1980,1.789
5/15/1980,1.791
5/16/1980,1.794
5/19/1980,1.803
5/20/1980,1.803
5/21/1980,1.788
5/22/1980,1.79
5/23/1980,1.779
5/27/1980,1.762
5/28/1980,1.772
5/29/1980,1.779
5/30/1980,1.779
6/2/1980,1.783
6/3/1980,1.775
6/4/1980,1.774
6/5/1980,1.775
6/6/1980,1.772
6/9/1980,1.762
6/10/1980,1.762
6/11/1980,1.766
6/12/1980,1.763
6/13/1980,1.755
6/16/1980,1.768
6/17/1980,1.763
6/18/1980,1.764
6/19/1980,1.767
6/20/1980,1.768
6/23/1980,1.767
6/24/1980,1.77
6/25/1980,1.769
6/26/1980,1.765
6/27/1980,1.764
6/30/1980,1.764
7/1/1980,1.762
7/2/1980,1.759
7/3/1980,1.756
7/7/1980,1.739
7/8/1980,1.74
7/9/1980,1.741
7/10/1980,1.738
7/11/1980,1.739
7/14/1980,1.744
7/15/1980,1.748
7/16/1980,1.744
7/17/1980,1.736
7/18/1980,1.747
7/21/1980,1.742
7/22/1980,1.739
7/23/1980,1.74
7/24/1980,1.735
7/25/1980,1.739
7/28/1980,1.734
7/29/1980,1.759
7/30/1980,1.777
7/31/1980,1.781
8/1/1980,1.793
8/4/1980,1.785
8/5/1980,1.776
8/6/1980,1.769
8/7/1980,1.782
8/8/1980,1.783
8/11/1980,1.783
8/12/1980,1.78
8/13/1980,1.782
8/14/1980,1.786
8/15/1980,1.787
8/18/1980,1.798
8/19/1980,1.8
8/20/1980,1.797
8/21/1980,1.796
8/22/1980,1.807
8/25/1980,1.805
8/26/1980,1.802
8/27/1980,1.8
8/28/1980,1.787
8/29/1980,1.792
9/2/1980,1.778
9/3/1980,1.776
9/4/1980,1.777
9/5/1980,1.782
9/8/1980,1.777
9/9/1980,1.78
9/10/1980,1.779
9/11/1980,1.778
9/12/1980,1.78
9/15/1980,1.783
9/16/1980,1.784
9/17/1980,1.781
9/18/1980,1.792
9/19/1980,1.794
9/22/1980,1.807
9/23/1980,1.812
9/24/1980,1.795
9/25/1980,1.798
9/26/1980,1.802
9/29/1980,1.814
9/30/1980,1.813
10/1/1980,1.809
10/2/1980,1.812
10/3/1980,1.811
10/6/1980,1.799
10/7/1980,1.805
10/8/1980,1.804
