Month,"Shartes traded in oil and mining stock, TSE"
1-Jan,67875
2-Jan,65118
3-Jan,60295
4-Jan,57477
5-Jan,64714
6-Jan,75223
7-Jan,52742
8-Jan,42873
9-Jan,46263
10-Jan,53041
11-Jan,60498
12-Jan,69614
1-Feb,96096
2-Feb,65181
3-Feb,77536
4-Feb,249062
5-Feb,96749
6-Feb,93628
7-Feb,148060
8-Feb,63695
9-Feb,65564
10-Feb,62357
11-Feb,103431
12-Feb,78766
1-Mar,72251
2-Mar,71654
3-Mar,91189
4-Mar,81469
5-Mar,70153
6-Mar,53288
7-Mar,37690
8-Mar,81308
9-Mar,51545
10-Mar,51327
11-Mar,79400
12-Mar,83153
1-Apr,155379
2-Apr,101717
3-Apr,91146
4-Apr,93891
5-Apr,63941
6-Apr,54375
7-Apr,50195
8-Apr,52946
9-Apr,66494
10-Apr,54475
11-Apr,50111
12-Apr,42335
1-May,56699
2-May,55025
3-May,49626
4-May,48653
5-May,39988
6-May,51743
7-May,65756
8-May,99402
9-May,67872
10-May,55672
11-May,53244
12-May,45152
1-Jun,62896
2-Jun,46469
3-Jun,53502
4-Jun,50250
5-Jun,61558
6-Jun,53165
7-Jun,52322
8-Jun,49069
9-Jun,47127
10-Jun,59712
11-Jun,57087
12-Jun,66616
1-Jul,97536
2-Jul,72348
3-Jul,53113
4-Jul,50799
5-Jul,74629
6-Jul,67571
7-Jul,31960
8-Jul,23659
9-Jul,24797
10-Jul,36058
11-Jul,39381
12-Jul,27698
1-Aug,42659
2-Aug,23719
3-Aug,24712
4-Aug,28358
5-Aug,25247
6-Aug,23741
7-Aug,18939
8-Aug,24475
9-Aug,31801
10-Aug,34141
11-Aug,28131
12-Aug,23783
1-Sep,25522
2-Sep,28551
3-Sep,37135
4-Sep,36282
5-Sep,24631
6-Sep,28680
7-Sep,25100
8-Sep,18295
9-Sep,22892
10-Sep,17801
11-Sep,16418
12-Sep,25127
1-Oct,29326
2-Oct,32376
3-Oct,32140
4-Oct,25660
5-Oct,22472
6-Oct,26010
7-Oct,18371
8-Oct,24951
9-Oct,19413
10-Oct,24775
11-Oct,37835
12-Oct,28245
1-Nov,35886
2-Nov,30963
3-Nov,29777
4-Nov,22364
5-Nov,32808
6-Nov,24909
7-Nov,28271
8-Nov,24261
9-Nov,26249
10-Nov,37404
11-Nov,32973
12-Nov,24702
1-Dec,53350
2-Dec,59535
3-Dec,34957
4-Dec,28747
5-Dec,23543
6-Dec,17385
7-Dec,16772
8-Dec,16165
9-Dec,17105
10-Dec,14793
11-Dec,15643
12-Dec,20854
13-01,24130
13-02,23792
13-03,18501
13-04,19212
13-05,18208
13-06,20531
13-07,20919
13-08,11268
13-09,14162
13-10,12503
13-11,14536
13-12,17280
14-01,23364
14-02,27743
14-03,26480
14-04,25226
14-05,27970
14-06,25246
14-07,16732
14-08,13944
14-09,17273
14-10,13992
14-11,17674
14-12,20245
15-01,20185
15-02,17590
15-03,24081
15-04,16050
15-05,16907
15-06,19687
15-07,22545
15-08,20511
15-09,26088
15-10,44627
15-11,52770
15-12,64699
16-01,37788
16-02,31203
16-03,29814
16-04,38677
16-05,36009
16-06,34829
16-07,43649
16-08,47617
16-09,44298
16-10,44858
16-11,39391
16-12,33819
17-01,51787
17-02,41874
17-03,49716
17-04,37581
17-05,37219
17-06,65377
17-07,53128
17-08,77232
17-09,90613
17-10,98231
17-11,52277
17-12,65902
18-01,212320
18-02,152502
18-03,112326
18-04,41425
18-05,40543
18-06,55143
18-07,74920
18-08,61160
18-09,89890
18-10,75479
18-11,110178
18-12,78120
19-01,69637
19-02,48401
19-03,49334
19-04,52465
19-05,48655
19-06,48131
19-07,76892
19-08,40117
19-09,58569
19-10,37182
19-11,46107
19-12,62384
20-01,34593
20-02,32064
20-03,39727
20-04,31799
20-05,26944
20-06,33557
20-07,30136
20-08,48359
20-09,63487
20-10,83571
20-11,77864
20-12,71668
21-01,137906
21-02,80472
21-03,62596
21-04,52954
21-05,103014
21-06,79738
21-07,89293
21-08,69521
21-09,77319
21-10,64378
21-11,62156
21-12,61769
22-01,60340
22-02,73487
22-03,69659
22-04,53367
22-05,58842
22-06,54101
22-07,53547
22-08,56190
22-09,50817
22-10,57953
22-11,79221
22-12,55967
23-01,59429
23-02,55721
23-03,79533
23-04,92423
23-05,78144
23-06,64983
23-07,78603
23-08,100879
23-09,89877
23-10,84598
23-11,98210
23-12,109791
24-01,147887
24-02,118578
24-03,256784
24-04,140218
24-05,96477
24-06,78939
24-07,105484
24-08,116632
24-09,158149
24-10,121532
24-11,105469
24-12,104901
25-01,190502
25-02,169683
25-03,290887
25-04,351845
25-05,239384
25-06,190026
25-07,242977
25-08,238705
25-09,250744
25-10,300301
25-11,351845
25-12,150471
26-01,152392
26-02,139039
26-03,152438
26-04,160284
26-05,128375
26-06,170441
26-07,118055
26-08,121349
26-09,133989
26-10,98418
26-11,115459
26-12,128861
27-01,167497
27-02,137556
27-03,140933
27-04,117921
27-05,160821
27-06,222620
27-07,197038
27-08,233784
27-09,190760
27-10,216099
27-11,310039
27-12,183780
28-01,235235
28-02,200757
28-03,177864
28-04,121784
28-05,189945
28-06,159100
28-07,155842
28-08,258460
28-09,148283
28-10,150797
28-11,157554
28-12,138272
29-01,144687
29-02,158089
29-03,162251
29-04,159966
29-05,141491
29-06,163731
29-07,136194
29-08,136188
29-09,127478
29-10,159870
29-11,180886
29-12,153443
30-01,206849
30-02,174662
30-03,191258
30-04,167982
30-05,187652
30-06,198467
30-07,191548
30-08,159510
